instancia,solver,versao,seed,makespan,tardiness,gap_pct,tempo_s,n_avaliacoes
4x2,Neuro-BOA,adaptativo,103,164.0,174.0,173.33,13.19,6000
4x2,Neuro-BOA,adaptativo,104,164.0,260.0,173.33,13.32,6000
16x2,Neuro-BOA,adaptativo,100,1026.0,6491.0,19.03,38.21,6000
16x2,Neuro-BOA,adaptativo,101,1009.0,6960.0,17.05,37.72,6000
16x2,Neuro-BOA,adaptativo,102,996.0,6855.0,15.55,36.62,6000
16x2,Neuro-BOA,adaptativo,103,1008.0,6819.0,16.94,42.85,6000
16x2,Neuro-BOA,adaptativo,104,1008.0,8005.0,16.94,32.49,6000
16x5,Neuro-BOA,adaptativo,100,1963.0,21572.0,199.24,70.27,6000
16x5,Neuro-BOA,adaptativo,101,1196.0,8073.0,82.32,86.77,6000
16x5,Neuro-BOA,adaptativo,102,1049.0,7714.0,59.91,63.1,6000
16x5,Neuro-BOA,adaptativo,103,1082.0,6983.0,64.94,89.41,6000
16x5,Neuro-BOA,adaptativo,104,1071.0,7333.0,63.26,86.92,6000
16x4,Neuro-BOA,adaptativo,100,1480.0,12872.0,93.46,88.86,6000
16x4,Neuro-BOA,adaptativo,101,2252.0,24635.0,194.38,88.13,6000
16x4,Neuro-BOA,adaptativo,102,2281.0,26952.0,198.17,83.16,6000
16x4,Neuro-BOA,adaptativo,103,1187.0,8159.0,55.16,86.38,6000
16x4,Neuro-BOA,adaptativo,104,1196.0,8042.0,56.34,85.82,6000
4x2,PBIL-Fuzzy,tunado,100,164.0,174.0,173.33,0.54,4968
4x2,PBIL-Fuzzy,tunado,101,164.0,142.0,173.33,0.53,4968
4x2,PBIL-Fuzzy,tunado,102,164.0,277.0,173.33,0.55,4968
4x2,PBIL-Fuzzy,tunado,103,164.0,174.0,173.33,0.39,4968
4x2,PBIL-Fuzzy,tunado,104,164.0,174.0,173.33,0.31,4968
16x2,PBIL-Fuzzy,tunado,100,1051.0,9295.0,21.93,0.46,4968
16x2,PBIL-Fuzzy,tunado,101,1029.0,8749.0,19.37,0.43,4968
16x2,PBIL-Fuzzy,tunado,102,1067.0,9062.0,23.78,0.45,4968
16x2,PBIL-Fuzzy,tunado,103,988.0,8149.0,14.62,0.43,4968
