experimento,instancia_rotulo,instancia_arquivo,n_jobs,n_machines,solver,versao,seed,makespan,tardiness,gap_pct,tempo_s,n_avaliacoes,lower_bound
original,16x5,I_2_16_5_1.txt,16,5,ACO,ACO_Optuna,100,2586.0,31162.0,294.21,11.57,3000,656.0
original,16x5,I_2_16_5_1.txt,16,5,ACO,ACO_Optuna,101,2827.0,35615.0,330.95,11.67,3000,656.0
original,16x5,I_2_16_5_1.txt,16,5,ACO,ACO_Optuna,102,2948.0,36663.0,349.39,10.71,3000,656.0
original,16x5,I_2_16_5_1.txt,16,5,ACO,ACO_Optuna,103,2723.0,31329.0,315.09,11.03,3000,656.0
original,16x5,I_2_16_5_1.txt,16,5,ACO,ACO_Optuna,104,2637.0,32145.0,301.98,11.4,3000,656.0
original,16x5,I_2_16_5_1.txt,16,5,BRKGA,fixo_default,100,1591.0,16432.0,142.53,2.69,10000,656.0
original,16x5,I_2_16_5_1.txt,16,5,BRKGA,fixo_default,101,1387.0,14878.0,111.43,3.37,10000,656.0
original,16x5,I_2_16_5_1.txt,16,5,BRKGA,fixo_default,102,1324.0,13711.0,101.83,2.3,10000,656.0
original,16x5,I_2_16_5_1.txt,16,5,BRKGA,fixo_default,103,1425.0,13739.0,117.23,2.64,10000,656.0
original,16x5,I_2_16_5_1.txt,16,5,BRKGA,fixo_default,104,1499.0,16239.0,128.51,2.27,10000,656.0
original,16x5,I_2_16_5_1.txt,16,5,BRKGA,fuzzy,100,1484.0,15615.0,126.22,5.97,10000,656.0
original,16x5,I_2_16_5_1.txt,16,5,BRKGA,fuzzy,101,1408.0,14217.0,114.63,4.31,10000,656.0
original,16x5,I_2_16_5_1.txt,16,5,BRKGA,fuzzy,102,1348.0,14054.0,105.49,4.15,10000,656.0
original,16x5,I_2_16_5_1.txt,16,5,BRKGA,fuzzy,103,1450.0,15089.0,121.04,5.52,10000,656.0
original,16x5,I_2_16_5_1.txt,16,5,BRKGA,fuzzy,104,1396.0,14263.0,112.8,4.43,10000,656.0
original,16x5,I_2_16_5_1.txt,16,5,Neuro-BOA,adaptativo,100,2266.0,28148.0,245.43,64.09,4000,656.0
original,16x5,I_2_16_5_1.txt,16,5,Neuro-BOA,adaptativo,101,2259.0,27287.0,244.36,67.14,4000,656.0
original,16x5,I_2_16_5_1.txt,16,5,Neuro-BOA,adaptativo,102,2134.0,25879.0,225.3,62.75,4000,656.0
original,16x5,I_2_16_5_1.txt,16,5,Neuro-BOA,adaptativo,103,2035.0,24506.0,210.21,64.15,4000,656.0
original,16x5,I_2_16_5_1.txt,16,5,Neuro-BOA,adaptativo,104,2149.0,25774.0,227.59,55.67,4000,656.0
original,16x5,I_2_16_5_1.txt,16,5,PBIL-Fuzzy,default,100,1642.0,18510.0,150.3,1.51,8000,656.0
original,16x5,I_2_16_5_1.txt,16,5,PBIL-Fuzzy,default,101,1663.0,18495.0,153.51,1.5,8000,656.0
original,16x5,I_2_16_5_1.txt,16,5,PBIL-Fuzzy,default,102,1638.0,18226.0,149.7,1.58,8000,656.0
original,16x5,I_2_16_5_1.txt,16,5,PBIL-Fuzzy,default,103,1640.0,18422.0,150.0,2.64,8000,656.0
original,16x5,I_2_16_5_1.txt,16,5,PBIL-Fuzzy,default,104,1789.0,18855.0,172.71,1.79,8000,656.0
original,16x4,I_4_16_5_1.txt,16,5,ACO,ACO_Optuna,100,3009.0,35432.0,293.33,10.77,3000,765.0
original,16x4,I_4_16_5_1.txt,16,5,ACO,ACO_Optuna,101,3261.0,41196.0,326.27,10.68,3000,765.0
original,16x4,I_4_16_5_1.txt,16,5,ACO,ACO_Optuna,102,3331.0,41886.0,335.42,11.38,3000,765.0
original,16x4,I_4_16_5_1.txt,16,5,ACO,ACO_Optuna,103,2647.0,32390.0,246.01,11.47,3000,765.0
original,16x4,I_4_16_5_1.txt,16,5,ACO,ACO_Optuna,104,2753.0,33293.0,259.87,11.35,3000,765.0
