experimento,instancia_rotulo,instancia_arquivo,n_jobs,n_machines,solver,versao,seed,makespan,tardiness,gap_pct,tempo_s,n_avaliacoes,lower_bound
padronizado,16x2,I_2_16_2_1.txt,16,2,PBIL-Fuzzy,default,103,1022.0,9166.0,18.56,0.45,4960,862.0
padronizado,16x2,I_2_16_2_1.txt,16,2,PBIL-Fuzzy,default,104,1012.0,8253.0,17.4,0.51,4960,862.0
padronizado,16x5,I_2_16_5_1.txt,16,5,ACO,ACO_Optuna,100,2586.0,31162.0,294.21,19.33,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,ACO,ACO_Optuna,101,2827.0,35615.0,330.95,18.01,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,ACO,ACO_Optuna,102,2948.0,36663.0,349.39,19.17,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,ACO,ACO_Optuna,103,2723.0,31329.0,315.09,18.24,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,ACO,ACO_Optuna,104,2637.0,32145.0,301.98,17.9,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,BRKGA,fixo_default,100,1684.0,17654.0,156.71,1.92,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,BRKGA,fixo_default,101,1515.0,15795.0,130.95,1.91,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,BRKGA,fixo_default,102,1439.0,15799.0,119.36,1.06,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,BRKGA,fixo_default,103,1627.0,18320.0,148.02,1.05,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,BRKGA,fixo_default,104,1584.0,17565.0,141.46,1.06,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,BRKGA,fuzzy,100,1560.0,16865.0,137.8,2.69,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,BRKGA,fuzzy,101,1474.0,15646.0,124.7,2.29,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,BRKGA,fuzzy,102,1366.0,14342.0,108.23,2.8,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,BRKGA,fuzzy,103,1501.0,16146.0,128.81,3.24,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,BRKGA,fuzzy,104,1508.0,15312.0,129.88,2.35,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,Neuro-BOA,adaptativo,100,2283.0,28046.0,248.02,76.56,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,Neuro-BOA,adaptativo,101,2187.0,26504.0,233.38,72.95,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,Neuro-BOA,adaptativo,102,2247.0,27287.0,242.53,64.88,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,Neuro-BOA,adaptativo,103,2292.0,28392.0,249.39,76.77,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,Neuro-BOA,adaptativo,104,2239.0,27664.0,241.31,77.29,5000,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,PBIL-Fuzzy,default,100,1725.0,19285.0,162.96,0.92,4960,656.0
padronizado,16x5,I_2_16_5_1.txt,16,5,PBIL-Fuzzy,default,101,1848.0,21252.0,181.71,0.91,4960,656.0
